Title,Link,Published
"2024.2507 - Unfit yoghurt, acid taste and swollen pots",https://webgate.ec.europa.eu/rasff-window/screen/notification/674297,Notified by France on 29/03/2024
2024.2468 - Listeria monocytogenes in cheese,https://webgate.ec.europa.eu/rasff-window/screen/notification/674048,Notified by France on 28/03/2024
2024.2421 - Unlabeled and too high content of sulphur dioxide in pickled artichoke from Egypt,https://webgate.ec.europa.eu/rasff-window/screen/notification/673981,Notified by Denmark on 27/03/2024
2024.2307 - Undeclared allergen milk in rooibos from Germany,https://webgate.ec.europa.eu/rasff-window/screen/notification/672960,Notified by Sweden on 25/03/2024
2024.2297 - Unlabeled/incorrectly labeled allergen (egg) in frozen dumplings from Vietnam,https://webgate.ec.europa.eu/rasff-window/screen/notification/673169,Notified by Germany on 25/03/2024
2024.2262 - Lazez mini jelly,https://webgate.ec.europa.eu/rasff-window/screen/notification/672640,Notified by Sweden on 22/03/2024
2024.2234 - mustard and sesame allergens not declared on the label in organic psyllium fiber powder,https://webgate.ec.europa.eu/rasff-window/screen/notification/672157,Notified by Italy on 22/03/2024
2024.2198 - Unauthorised additive E110 in cheese flavoured corn based snack,https://webgate.ec.europa.eu/rasff-window/screen/notification/671991,Notified by Malta on 21/03/2024
2024.2193 - Detection of listeria monocytogenes in cheeses,https://webgate.ec.europa.eu/rasff-window/screen/notification/672284,Notified by France on 21/03/2024
2024.2179 - Unauthorised additive E110 in cheese flavoured corn based snack,https://webgate.ec.europa.eu/rasff-window/screen/notification/672000,Notified by Malta on 21/03/2024
2024.2072 - Defect in packaging of sheep milk cheese,https://webgate.ec.europa.eu/rasff-window/screen/notification/671387,Notified by Denmark on 18/03/2024
"2024.2003 - Maximum residue levels exceeded for imidacloprid and acetamiprid in rice from Pakistan, via the Netherlands",https://webgate.ec.europa.eu/rasff-window/screen/notification/671033,Notified by Germany on 15/03/2024
2024.1901 - Hepatitis E in pepperoni sausage from Finland,https://webgate.ec.europa.eu/rasff-window/screen/notification/670295,Notified by Finland on 13/03/2024
2024.1753 - Migration of photoinitiators from packaging into sheep's cheese from Bulgaria,https://webgate.ec.europa.eu/rasff-window/screen/notification/668444,Notified by Germany on 11/03/2024
2024.1652 - Undeclared allergen in fresh pizza,https://webgate.ec.europa.eu/rasff-window/screen/notification/668615,Notified by Sweden on 07/03/2024
